appliance,daily,weekly,monthly,yearly
Broadband router,0p,2p,8p,99p
Dehumidifier,34p,£2.38,£10.20,£124.10
Dishwasher,51p,£3.59,£15.38,£187.08
DVD or Blu-ray player,3p,19p,81p,£9.82
Electric blanket,3p,19p,80p,£9.68
Electric car charger (wallbox),40p,£2.78,£11.90,£144.78
Extractor fan,0p,0p,2p,21p
Fan heater,35p,£2.48,£10.63,£129.27
